Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
"May 28, 2015","May 28, 2015",Run / Jog,771,6.8,3336,8.18,0,7.34,0,,0,,,http://www.mapmyrun.com/workout/1004958843
"Feb. 26, 2015","Feb. 26, 2015",Run / Jog,295,2.65,1080,6.79245,0,8.83333,0,0,5619,,,http://www.mapmyrun.com/workout/886806551
"Feb. 25, 2015","Feb. 25, 2015",Run / Jog,397,3.55,1440,6.76056,0,8.875,0,0,7528,,,http://www.mapmyrun.com/workout/885849853
"Feb. 24, 2015","Feb. 24, 2015",Run / Jog,422,3.8,1620,7.10526,0,8.44444,0,0,8058,,,http://www.mapmyrun.com/workout/884847741
"Feb. 23, 2015","Feb. 23, 2015",Run / Jog,315,2.86,1200,6.99301,0,8.58,0,0,6065,,,http://www.mapmyrun.com/workout/883897059
"Feb. 20, 2015","Feb. 20, 2015",Run / Jog,665,6.0,2551,7.08611,0,8.46727,0,0,12723,,,http://www.mapmyrun.com/workout/881191509
"Feb. 19, 2015","Feb. 19, 2015",Run / Jog,476,4.24,1680,6.60377,0,9.08571,0,0,8991,,,http://www.mapmyrun.com/workout/880330165
"Feb. 18, 2015","Feb. 18, 2015",Run / Jog,688,6.2,2640,7.09677,0,8.45455,0,0,13147,,,http://www.mapmyrun.com/workout/879372255
"Feb. 17, 2015","Feb. 17, 2015",Run / Jog,572,5.1,2220,7.2549,0,8.27027,0,0,10814,,,http://www.mapmyrun.com/workout/878355521
"Feb. 17, 2015","Feb. 13, 2015",Run / Jog,306,2.7,1260,7.77778,0,7.71429,0,0,5725,,,http://www.mapmyrun.com/workout/878356653
"Feb. 12, 2015","Feb. 12, 2015",Run / Jog,504,4.48,1800,6.69643,0,8.96,0,0,9500,,,http://www.mapmyrun.com/workout/874326479
"Feb. 11, 2015","Feb. 11, 2015",Run / Jog,473,4.3,1800,6.97674,0,8.6,0,0,9118,,,http://www.mapmyrun.com/workout/872481181
"Feb. 10, 2015","Feb. 10, 2015",Run / Jog,422,3.75,1800,8.0,0,7.5,0,0,7952,,,http://www.mapmyrun.com/workout/871524897
"Feb. 10, 2015","Feb. 8, 2015",Run / Jog,447,3.93,1800,7.63359,0,7.86,0,0,8333,,,http://www.mapmyrun.com/workout/871526463
"Feb. 5, 2015","Feb. 5, 2015",Run / Jog,309,2.76,1200,7.24638,0,8.28,0,0,5853,,,http://www.mapmyrun.com/workout/866462493
"Feb. 3, 2015","Feb. 3, 2015",Run / Jog,470,4.25,1800,7.05882,0,8.5,0,0,9012,,,http://www.mapmyrun.com/workout/864393989
"Jan. 28, 2015","Jan. 28, 2015",Run / Jog,447,3.93,1800,7.63359,0,7.86,0,0,8333,,,http://www.mapmyrun.com/workout/858516537
"Jan. 21, 2015","Jan. 21, 2015",Run / Jog,288,2.6,1380,8.84615,0,6.78261,0,0,5513,,,http://www.mapmyrun.com/workout/851040825
"Jan. 20, 2015","Jan. 20, 2015",Run / Jog,367,3.3,1800,9.09091,0,6.6,0,0,6998,,,http://www.mapmyrun.com/workout/849932221
"Dec. 26, 2014","Dec. 24, 2014",Run / Jog,280,2.5,1325,8.83,0,6.79,0,,0,,,http://www.mapmyrun.com/workout/825584369
"Dec. 23, 2014","Dec. 23, 2014",Run / Jog,283,2.5,1440,9.6,0,6.25,0,,0,,,http://www.mapmyrun.com/workout/823918919
"Dec. 22, 2014","Dec. 22, 2014",Run / Jog,344,3.0,1860,10.33,0,5.81,0,,0,,,http://www.mapmyrun.com/workout/823148161
"Nov. 20, 2014","Nov. 20, 2014",Run / Jog,342,3.0,1320,7.33,0,8.18,0,,0,,,http://www.mapmyrun.com/workout/800206723
"Nov. 12, 2014","Nov. 12, 2014",Run / Jog,343,3.0,1380,7.67,0,7.83,0,,0,,,http://www.mapmyrun.com/workout/793295213
"Nov. 12, 2014","Nov. 9, 2014",Machine Workout,476,0,3600,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/793346039
"Nov. 8, 2014","Nov. 8, 2014",Run / Jog,313,3.0,1320,7.33333,0,8.18182,0,,,,,http://www.mapmyrun.com/workout/789731365
"Nov. 12, 2014","Nov. 7, 2014",Machine Workout,272,0,1800,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/793346829
"Nov. 12, 2014","Nov. 7, 2014",Run / Jog,333,3.0,1260,7.0,0,8.57,0,,0,,,http://www.mapmyrun.com/workout/793290417
"Nov. 6, 2014","Nov. 6, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/787480143
"Nov. 5, 2014","Nov. 5, 2014",Run / Jog,41,0,1200,0,0,0,0,,,,,http://www.mapmyrun.com/workout/787086147
"Nov. 5, 2014","Nov. 5, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/786585675
"Nov. 4, 2014","Nov. 4, 2014",Bike Ride,136,0,900,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/786040431
"Nov. 4, 2014","Nov. 4, 2014",Run / Jog,236,2.3,1200,8.69565,0,6.9,0,,,,,http://www.mapmyrun.com/workout/785954351
"Nov. 4, 2014","Nov. 4, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/785498887
"Nov. 3, 2014","Nov. 3, 2014",Machine Workout,363,0,2400,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785083667
"Nov. 3, 2014","Nov. 3, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/784608007
"Nov. 2, 2014","Nov. 2, 2014",Machine Workout,544,0,3600,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/784227377
"Nov. 1, 2014","Nov. 1, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/782542149
"Nov. 3, 2014","Oct. 31, 2014",Machine Workout,499,0,3300,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785085363
"Oct. 29, 2014","Oct. 29, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/780795565
"Oct. 29, 2014","Oct. 28, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/780768491
"Oct. 29, 2014","Oct. 27, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/780770033
"Oct. 26, 2014","Oct. 26, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/777383333
"Oct. 26, 2014","Oct. 24, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/777381821
"Oct. 23, 2014","Oct. 23, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/774388053
"Oct. 22, 2014","Oct. 21, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/773747383
"Oct. 21, 2014","Oct. 20, 2014",Machine Workout,250,0,1800,0,0,0,0,,,,,http://www.mapmyrun.com/workout/772471927
"Nov. 3, 2014","Oct. 19, 2014",Swim,238,0,2100,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785089009
"Nov. 3, 2014","Oct. 18, 2014",Indoor Swim,238,0,2100,0,0,0,0,,0,,,http://www.mapmyrun.com/workout/785087923
"Oct. 17, 2014","Oct. 16, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/768374479
"Oct. 15, 2014","Oct. 15, 2014",Machine Workout,334,0,2400,0,0,0,0,,,,,http://www.mapmyrun.com/workout/766650611
"Oct. 16, 2014","Oct. 14, 2014",Machine Workout,501,0,3600,0,0,0,0,,,,,http://www.mapmyrun.com/workout/767871351
